step,time_seconds,total_energy,relative_energy_drift,momentum_x,momentum_y,momentum_z,momentum_drift,center_of_mass_x,center_of_mass_y,center_of_mass_z,center_of_mass_drift
648,2.33280000000000000e+06,-1.97268632471749083e+35,1.44941711999681367e-12,1.75482055793049600e+15,3.18360656733700249e+31,0.00000000000000000e+00,2.70785180710096400e+16,1.50861297265463305e+09,3.72988675238384008e+07,0.00000000000000000e+00,3.72988675238384008e+07
672,2.41920000000000000e+06,-1.97268632471765980e+35,1.53507299624952853e-12,1.86202294163865600e+15,3.18360656733700204e+31,0.00000000000000000e+00,2.25948527219471040e+16,1.50861297265463281e+09,3.86803070617583320e+07,0.00000000000000000e+00,3.86803070617583320e+07
696,2.50560000000000000e+06,-1.97268632471782250e+35,1.61754950591644409e-12,1.75921860444160000e+15,3.18360656733700294e+31,0.00000000000000000e+00,3.15742445780915760e+16,1.50861297265463281e+09,4.00617465996782780e+07,0.00000000000000000e+00,4.00617465996782780e+07
720,2.59200000000000000e+06,-1.97268632471798705e+35,1.70096112340271232e-12,1.66850889515008000e+15,3.18360656733700249e+31,0.00000000000000000e+00,2.70730616603415400e+16,1.50861297265463185e+09,4.14431861375982240e+07,0.00000000000000000e+00,4.14431861375982240e+07
744,2.67840000000000000e+06,-1.97268632471815122e+35,1.78418571932510989e-12,1.51897531377254400e+15,3.18360656733700159e+31,0.00000000000000000e+00,1.80783251343225120e+16,1.50861297265463114e+09,4.28246256755181551e+07,0.00000000000000000e+00,4.28246256755181551e+07
768,2.76480000000000000e+06,-1.97268632471830470e+35,1.86198668989526134e-12,2.12370670904934400e+15,3.18360656733700114e+31,0.00000000000000000e+00,1.36766888031762360e+16,1.50861297265463090e+09,4.42060652134380937e+07,0.00000000000000000e+00,4.42060652134380937e+07
792,2.85120000000000000e+06,-1.97268632471845559e+35,1.93847850951831922e-12,1.50275751726284800e+15,3.18360656733700249e+31,0.00000000000000000e+00,2.70633520814985160e+16,1.50861297265463209e+09,4.55875047513580173e+07,0.00000000000000000e+00,4.55875047513580173e+07
816,2.93760000000000000e+06,-1.97268632471860390e+35,2.01366117819428314e-12,2.33343855204761600e+15,3.18360656733700249e+31,0.00000000000000000e+00,2.71221621779614440e+16,1.50861297265463281e+09,4.69689442892779484e+07,0.00000000000000000e+00,4.69689442892779484e+07
840,3.02400000000000000e+06,-1.97268632471874336e+35,2.08435532933735339e-12,2.17400936602009600e+15,3.18360656733700294e+31,0.00000000000000000e+00,3.16000694192667080e+16,1.50861297265463305e+09,4.83503838271979094e+07,0.00000000000000000e+00,4.83503838271979094e+07
864,3.11040000000000000e+06,-1.97268632471888134e+35,2.15430139422494144e-12,2.04866504045363200e+15,3.18360656733700339e+31,0.00000000000000000e+00,3.60869954842694480e+16,1.50861297265463376e+09,4.97318233651178479e+07,0.00000000000000000e+00,4.97318233651178479e+07
888,3.19680000000000000e+06,-1.97268632471900604e+35,2.21751468281318959e-12,2.02200188348006400e+15,3.18360656733700294e+31,0.00000000000000000e+00,3.15899756599420120e+16,1.50861297265463400e+09,5.11132629030377790e+07,0.00000000000000000e+00,5.11132629030377790e+07
912,3.28320000000000000e+06,-1.97268632471912927e+35,2.27997988514595553e-12,1.53079506377113600e+15,3.18360656733700339e+31,0.00000000000000000e+00,3.60613026409331600e+16,1.50861297265463424e+09,5.24947024409577176e+07,0.00000000000000000e+00,5.24947024409577176e+07
936,3.36960000000000000e+06,-1.97268632471924364e+35,2.33795656994582822e-12,1.69324790677504000e+15,3.18360656733700429e+31,0.00000000000000000e+00,4.50678161090479840e+16,1.50861297265463495e+09,5.38761419788776487e+07,0.00000000000000000e+00,5.38761419788776487e+07
960,3.45600000000000000e+06,-1.97268632471935026e+35,2.39200580190441900e-12,4.57946592968704000e+14,3.18360656733700474e+31,0.00000000000000000e+00,4.95417124968835120e+16,1.50861297265463519e+09,5.52575815167976096e+07,0.00000000000000000e+00,5.52575815167976096e+07
984,3.54240000000000000e+06,-1.97268632471944877e+35,2.44194055945785742e-12,5.97859447603200000e+14,3.18360656733700429e+31,0.00000000000000000e+00,4.50399644347578880e+16,1.50861297265463543e+09,5.66390210547175631e+07,0.00000000000000000e+00,5.66390210547175631e+07
1008,3.62880000000000000e+06,-1.97268632471953915e+35,2.48776084260614389e-12,1.27131031961600000e+15,3.18360656733700474e+31,0.00000000000000000e+00,4.95559057224324640e+16,1.50861297265463543e+09,5.80204605926375166e+07,0.00000000000000000e+00,5.80204605926375166e+07
1032,3.71520000000000000e+06,-1.97268632471962253e+35,2.53002771604088976e-12,2.59319817410969600e+15,3.18360656733700339e+31,0.00000000000000000e+00,3.61220001024848080e+16,1.50861297265463614e+09,5.94019001305574551e+07,0.00000000000000000e+00,5.94019001305574551e+07
1056,3.80160000000000000e+06,-1.97268632471969780e+35,2.56818011507048327e-12,1.16658183707033600e+15,3.18360656733700384e+31,0.00000000000000000e+00,4.05491811394307680e+16,1.50861297265463638e+09,6.07833396684774235e+07,0.00000000000000000e+00,6.07833396684774235e+07
1080,3.88800000000000000e+06,-1.97268632471976162e+35,2.60053484562008956e-12,8.97201488265216000e+14,3.18360656733700384e+31,0.00000000000000000e+00,4.05423253946579920e+16,1.50861297265463662e+09,6.21647792063973546e+07,0.00000000000000000e+00,6.21647792063973546e+07
1104,3.97440000000000000e+06,-1.97268632471981733e+35,2.62877510176454349e-12,7.77354720837632000e+14,3.18360656733700294e+31,0.00000000000000000e+00,3.15347800204938880e+16,1.50861297265463710e+09,6.35462187443172857e+07,0.00000000000000000e+00,6.35462187443172857e+07
1128,4.06080000000000000e+06,-1.97268632471986197e+35,2.65140471099288105e-12,-2.31996953460736000e+14,3.18360656733700294e+31,0.00000000000000000e+00,3.15260510239602800e+16,1.50861297265463734e+09,6.49276582822372392e+07,0.00000000000000000e+00,6.49276582822372392e+07
1152,4.14720000000000000e+06,-1.97268632471989924e+35,2.67029388894380715e-12,-6.33868453412864000e+14,3.18360656733700204e+31,0.00000000000000000e+00,2.25269178830021880e+16,1.50861297265463758e+09,6.63090978201571703e+07,0.00000000000000000e+00,6.63090978201571703e+07
1176,4.23360000000000000e+06,-1.97268632471992691e+35,2.68432050623409909e-12,-7.43269860376576000e+14,3.18360656733700204e+31,0.00000000000000000e+00,2.25302616535324760e+16,1.50861297265463758e+09,6.76905373580771238e+07,0.00000000000000000e+00,6.76905373580771238e+07
1200,4.32000000000000000e+06,-1.97268632471994941e+35,2.69572882163020270e-12,-1.32436175565619200e+15,3.18360656733700204e+31,0.00000000000000000e+00,2.25569096764414200e+16,1.50861297265463734e+09,6.90719768959970474e+07,0.00000000000000000e+00,6.90719768959970474e+07
